date,maxtemp_c,mintemp_c,avgtemp_c,maxwind_kph,totalprecip_in,avgvis_km,avghumidity,uv,generation_mw
2022-11-03,10.3,6.4,8.5,34.0,0.05,9.9,80.0,3.0,33553.9269741
2022-11-04,12.7,5.3,8.0,14.4,0.0,10.0,83.0,4.0,66200.78139999999
2022-11-05,11.4,5.8,8.4,24.5,0.07,8.3,90.0,3.0,10042.00069
2022-11-06,11.4,6.8,8.9,28.4,0.06,10.0,86.0,3.0,16618.5924928
2022-11-07,13.6,9.2,11.8,36.6,0.02,9.7,82.0,3.0,12213.368422
2022-11-08,13.6,10.0,11.6,37.8,0.22,8.6,78.0,3.0,32719.508179
2022-11-09,11.9,8.8,10.1,24.8,0.07,8.4,82.0,3.0,47976.755448
2022-11-10,15.2,10.7,13.3,34.6,0.0,10.0,83.0,4.0,13849.36096882
2022-11-11,16.0,11.6,13.5,32.0,0.0,10.0,84.0,4.0,18671.272209031
2022-11-12,15.3,9.6,11.6,13.4,0.0,10.0,84.0,5.0,37308.530140677
2022-11-13,15.2,9.0,11.4,15.1,0.0,8.0,85.0,5.0,33184.9607289423
2022-11-14,11.1,8.5,9.7,13.3,0.0,10.0,84.0,3.0,14689.7359771703
2022-11-15,10.9,7.0,8.9,29.5,0.57,8.3,88.0,3.0,10875.927163603552
2022-11-16,8.9,5.9,7.6,19.2,0.27,9.8,89.0,2.0,26806.422267280002
2022-11-17,10.0,7.7,8.6,22.4,1.11,7.8,87.0,3.0,19573.1351411
2022-11-18,8.3,6.0,7.2,22.0,0.07,9.4,80.0,2.0,31081.54062961
2022-11-19,9.8,3.8,6.0,16.9,0.02,10.0,81.0,2.0,24972.74805958
2022-11-20,7.8,4.9,6.2,21.6,0.18,8.9,82.0,2.0,36204.14493096
2022-11-21,8.0,3.5,5.8,24.8,0.31,8.1,91.0,2.0,6829.528602581
2022-11-22,8.2,4.7,6.2,19.4,0.1,9.1,90.0,2.0,27288.74598
2022-11-23,9.2,4.8,6.9,29.5,0.28,9.3,83.0,2.0,31558.79157
2022-11-24,10.4,6.3,8.0,30.6,0.13,9.3,82.0,3.0,16788.01727
2022-11-25,9.0,5.9,7.6,26.3,0.03,10.0,85.0,3.0,47545.57646
2022-11-26,10.6,6.3,8.6,29.9,0.04,9.0,89.0,3.0,15603.52676
2022-11-27,11.5,7.0,9.6,26.6,0.07,9.9,88.0,3.0,11354.550263967
2022-11-28,9.1,5.8,7.3,15.0,0.0,9.0,86.0,2.0,30158.166294810002
2022-11-29,8.8,3.4,5.4,5.8,0.0,10.0,86.0,3.0,10146.517085989999
2022-11-30,5.7,2.5,3.9,6.8,0.0,8.0,92.0,2.0,14006.266396271001
2022-12-01,6.3,2.7,4.4,4.3,0.0,10.0,89.0,3.0,14316.3653
2022-12-02,5.3,2.0,3.6,8.9,0.01,6.0,92.0,2.0,15340.6771
2022-12-03,6.2,3.3,4.9,15.1,0.07,9.9,79.0,2.0,14164.4434
2022-12-04,4.5,2.5,3.7,15.4,0.11,7.8,90.0,1.0,4290.41467
2022-12-05,7.0,4.1,5.5,18.4,0.06,9.0,87.0,2.0,9604.76536
2022-12-06,5.2,2.1,3.6,16.1,0.0,10.0,83.0,2.0,25727.83
2022-12-07,4.5,0.7,2.5,16.9,0.0,10.0,80.0,1.0,30341.903
2022-12-08,1.7,-2.1,0.1,9.4,0.0,7.4,88.0,1.0,36739.6962
2022-12-09,2.7,-1.1,0.0,12.6,0.0,10.0,72.0,2.0,31777.610399999998
2022-12-10,3.3,-1.2,0.5,7.2,0.0,10.0,83.0,1.0,28770.3889
2022-12-11,1.9,-1.4,-0.3,9.7,0.0,10.0,87.0,1.0,14435.83513
2022-12-12,0.9,-1.5,-0.6,6.5,0.0,9.8,89.0,1.0,10159.35517
2022-12-13,0.5,-1.4,-0.2,11.2,0.02,9.6,87.0,1.0,11027.95409
2022-12-14,1.9,-2.2,-0.6,16.9,0.0,10.0,83.0,2.0,24119.68683
2022-12-15,1.8,-2.4,-0.8,13.0,0.0,10.0,73.0,2.0,37286.07179
2022-12-16,2.2,-2.6,-0.7,11.4,0.0,10.0,79.0,1.0,33210.0003
2022-12-17,2.3,-1.1,0.5,17.6,0.11,10.0,89.0,1.0,17777.80169
2022-12-18,6.7,-0.6,1.4,22.8,0.15,9.2,86.0,2.0,2503.33885305
2022-12-19,12.3,6.7,10.9,36.4,0.15,5.7,93.0,3.0,3216.80863009
2022-12-20,11.8,5.9,8.5,21.3,0.05,9.7,86.0,3.0,29613.570133
2022-12-21,7.6,4.5,6.3,30.1,0.06,9.0,80.0,2.0,18772.339288
2022-12-22,7.5,5.2,6.2,19.4,0.22,7.7,92.0,2.0,5341.1391461
2022-12-23,9.3,5.0,6.8,23.0,0.35,8.5,89.0,2.0,8609.70514682
2022-12-24,7.6,5.0,6.7,25.7,0.01,10.0,88.0,2.0,18006.591458
2022-12-25,9.6,6.1,8.0,28.4,0.0,9.9,82.0,2.0,9235.3678318
2022-12-26,8.5,3.1,4.4,33.1,0.09,9.5,75.0,2.0,32441.0799
2022-12-27,9.2,2.8,5.9,38.5,0.36,8.3,88.0,2.0,9838.479722
2022-12-28,11.1,4.1,7.8,36.1,0.22,8.8,84.0,3.0,3892.77001138
2022-12-29,7.4,4.5,6.5,37.8,0.04,9.0,77.0,2.0,22195.787542000002
2022-12-30,12.2,4.4,8.2,39.7,0.05,6.7,84.0,3.0,7198.49554143
2022-12-31,10.0,8.0,9.0,22.7,0.66,9.2,84.0,3.0,2795.42115997
2023-01-01,9.4,5.6,7.7,31.1,0.12,8.8,81.0,2.0,11779.403086
2023-01-02,5.9,1.0,4.3,18.7,0.0,10.0,84.0,2.0,35125.780666
2023-01-03,11.2,0.6,6.8,34.9,0.23,6.6,91.0,3.0,4435.0043559999995
2023-01-04,11.5,8.8,10.4,36.0,0.11,8.5,83.0,3.0,16148.651708433
2023-01-05,11.4,7.3,9.4,34.2,0.1,7.0,84.0,3.0,10955.63056265
2023-01-06,9.6,4.6,6.9,25.2,0.18,9.9,85.0,2.0,22218.46342474
2023-01-07,11.1,5.7,8.5,35.8,0.23,8.3,82.0,3.0,11750.4979219
2023-01-08,6.4,4.5,5.5,31.0,0.07,8.3,85.0,2.0,15183.065003
2023-01-09,6.1,4.1,5.3,32.4,0.06,7.3,84.0,2.0,28094.60243
2023-01-10,11.0,3.2,7.0,34.7,0.59,7.8,90.0,3.0,2880.76169331
2023-01-11,8.0,5.4,6.2,32.4,0.18,7.7,82.0,2.0,21667.382799
2023-01-12,10.8,5.8,8.2,37.8,0.3,9.9,86.0,3.0,8868.93452
2023-01-13,7.2,5.0,6.2,45.4,0.09,8.8,78.0,2.0,30921.87683
2023-01-14,8.5,3.3,6.0,38.8,0.35,8.0,84.0,2.0,12715.51300844
2023-01-15,5.0,2.2,3.2,41.0,0.2,8.4,89.0,2.0,30547.1361
2023-01-16,3.6,-0.5,1.7,19.8,0.0,9.0,83.0,1.0,29866.87859
2023-01-17,3.9,-0.9,0.7,21.8,0.0,9.8,70.0,1.0,41149.9694
2023-01-18,4.2,0.7,2.2,25.3,0.01,7.9,83.0,1.0,44593.2529
2023-01-19,5.0,-0.2,1.7,20.2,0.0,10.0,65.0,3.0,50844.5492
2023-01-20,4.1,-0.4,1.1,13.7,0.0,10.0,74.0,1.0,54685.5874
2023-01-21,3.6,-0.8,0.7,11.2,0.0,9.0,85.0,1.0,47905.4632
2023-01-22,3.7,-0.4,1.4,9.0,0.0,10.0,82.0,1.0,28611.4405
2023-01-23,7.0,0.7,3.1,6.5,0.0,10.0,81.0,2.0,41462.578190902
2023-01-24,9.0,3.4,5.5,7.0,0.0,10.0,88.0,2.0,38720.80786256
2023-01-25,9.8,2.6,5.8,21.6,0.0,10.0,86.0,2.0,11356.69289026
2023-01-26,6.5,2.2,4.6,26.6,0.0,10.0,83.0,2.0,28690.801813
2023-01-27,6.1,1.1,3.5,12.6,0.0,10.0,79.0,2.0,24772.69639929259
2023-01-28,5.9,1.1,3.8,11.2,0.0,8.0,92.0,2.0,18027.266591935
2023-01-29,8.4,3.9,6.0,29.5,0.01,10.0,86.0,2.0,21615.71352501
2023-01-30,8.0,3.1,5.5,36.0,0.0,9.9,75.0,2.0,53745.1538236
2023-01-31,8.9,4.4,6.5,35.5,0.02,10.0,82.0,2.0,44372.875767
2023-02-01,7.3,4.1,5.7,40.7,0.03,8.7,77.0,2.0,32947.42231
2023-02-02,10.3,7.1,8.5,30.2,0.0,7.3,82.0,3.0,24555.41444
2023-02-03,11.6,6.0,9.1,28.8,0.0,10.0,83.0,3.0,25860.036
2023-02-04,9.4,5.3,7.4,20.9,0.0,10.0,78.0,2.0,10565.662872
2023-02-05,7.2,0.5,4.1,10.6,0.0,10.0,60.0,3.0,60348.4066
2023-02-06,7.2,-0.1,2.7,9.7,0.0,10.0,60.0,3.0,75932.0054
2023-02-07,10.2,-0.1,3.8,6.5,0.0,10.0,68.0,4.0,62833.3629
2023-02-08,7.8,0.3,2.9,18.1,0.0,10.0,74.0,3.0,64637.696487
2023-02-09,7.1,1.6,3.8,24.1,0.0,10.0,79.0,3.0,63865.37776887
2023-02-10,9.6,3.0,6.1,31.3,0.0,10.0,81.0,3.0,37518.63034063
2023-02-11,9.9,3.9,6.6,23.8,0.0,10.0,82.0,3.0,20823.27563092
2023-02-12,10.6,3.6,6.3,10.4,0.0,9.7,86.0,4.0,16049.207121
2023-02-13,9.4,2.7,5.7,14.4,0.0,7.3,88.0,3.0,63328.21981
2023-02-14,11.8,2.2,5.9,9.7,0.0,10.0,77.0,4.0,60263.678885289
2023-02-15,10.6,3.3,5.9,21.6,0.02,8.9,77.0,3.0,55841.9296582
2023-02-16,10.6,5.0,7.8,24.6,0.1,8.9,90.0,3.0,20054.23154541
2023-02-17,12.1,7.2,9.9,43.6,0.0,10.0,80.0,3.0,37005.6732199
2023-02-18,12.4,8.5,10.0,30.1,0.03,8.3,84.0,3.0,27297.573904
2023-02-19,12.1,5.3,8.1,28.1,0.0,10.0,78.0,4.0,66763.3899
2023-02-20,12.3,8.4,10.1,32.0,0.0,10.0,84.0,3.0,51799.59828
2023-02-21,11.7,7.1,9.2,15.5,0.0,10.0,78.0,3.0,31984.880830000002
2023-02-22,7.2,4.0,6.1,22.2,0.06,6.6,88.0,2.0,31590.071260999997
2023-02-23,9.2,2.8,4.9,22.0,0.01,10.0,68.0,3.0,49656.76414731352
2023-02-24,9.1,3.0,6.5,25.6,0.01,9.8,77.0,2.0,41372.462706785
2023-02-25,6.4,1.7,3.7,23.0,0.02,9.8,74.0,2.0,46339.45607114
2023-02-26,7.0,1.8,4.3,18.4,0.01,10.0,71.0,2.0,69349.9443943
2023-02-27,7.3,3.7,5.1,16.6,0.03,10.0,78.0,2.0,48324.5182568
2023-02-28,8.2,4.8,6.1,22.0,0.05,10.0,83.0,2.0,33187.6718882224
2023-03-01,7.3,4.6,5.5,18.4,0.04,10.0,82.0,2.0,35499.727057914
2023-03-02,9.3,4.5,6.3,14.4,0.03,10.0,75.0,2.0,73155.64942334
2023-03-03,7.6,2.2,4.7,14.4,0.0,10.0,71.0,2.0,27743.56069215
2023-03-04,7.7,1.3,4.3,6.5,0.0,10.0,76.0,2.0,25261.3021725
2023-03-05,6.2,1.8,3.9,13.3,0.09,10.0,72.0,2.0,26056.64848207
2023-03-06,6.1,1.5,3.8,21.2,0.11,7.5,88.0,2.0,36067.98029
2023-03-07,5.2,-1.9,1.3,15.1,0.13,9.4,67.0,2.0,65641.08187
2023-03-08,3.5,-0.7,1.0,21.2,0.03,9.5,68.0,1.0,25781.28782
2023-03-09,0.8,-0.2,0.3,22.7,1.65,5.0,96.0,1.0,17029.40698
2023-03-10,2.7,-5.7,-0.4,37.4,1.52,5.7,93.0,1.0,62175.906738
2023-03-11,1.3,-6.9,-2.2,9.4,0.0,5.3,95.0,1.0,66164.81746
2023-03-12,7.0,0.4,2.5,31.3,0.59,1.8,100.0,2.0,57432.55960001439
2023-03-13,11.8,2.5,9.4,36.4,0.67,7.3,88.0,3.0,46904.522406782
2023-03-14,6.3,-0.3,2.4,33.5,0.22,7.2,74.0,2.0,88744.77584114
2023-03-15,6.4,0.1,3.0,20.9,0.07,9.3,83.0,2.0,51919.97813667
2023-03-16,13.0,5.2,9.1,33.8,1.07,8.0,91.0,3.0,35078.408988573996
2023-03-17,12.3,6.6,9.3,22.0,0.19,7.3,89.0,3.0,57276.101378
2023-03-18,10.7,6.7,8.8,15.5,0.06,9.0,85.0,3.0,54920.192627
2023-03-19,12.4,7.5,9.4,8.6,0.0,10.0,84.0,3.0,74785.37096
2023-03-20,13.8,5.0,9.1,20.2,0.03,9.3,82.0,3.0,27751.18561297
2023-03-21,12.1,7.8,9.4,23.8,0.34,8.2,88.0,3.0,67191.947502
2023-03-22,12.1,6.4,8.9,33.5,0.28,8.0,76.0,3.0,81593.204837
2023-03-23,12.4,5.3,8.4,30.2,0.06,9.9,80.0,3.0,74204.2699
2023-03-24,11.6,6.1,8.2,37.4,0.95,7.7,82.0,3.0,95178.5684
2023-03-25,10.7,5.3,7.2,39.2,0.14,8.6,82.0,3.0,81723.6406
2023-03-26,5.5,1.5,4.0,16.2,0.47,6.8,92.0,2.0,47973.96488
2023-03-27,8.5,-0.7,3.4,9.4,0.0,10.0,61.0,3.0,115063.74736826
2023-03-28,7.8,1.8,5.3,28.8,0.56,7.0,89.0,2.0,23162.869167744102
2023-03-29,11.9,7.8,9.8,29.9,0.11,9.2,92.0,3.0,26709.3486710788
2023-03-30,12.6,8.6,10.3,26.6,0.01,10.0,83.0,3.0,84474.624790243
2023-03-31,8.5,7.5,8.0,15.8,0.07,5.9,97.0,2.0,36299.552682021
2023-04-01,8.1,5.1,6.4,23.4,0.05,9.3,95.0,2.0,43655.783459700004
2023-04-02,9.2,4.9,6.8,10.5,0.01,8.0,82.0,2.0,93506.682646
2023-04-03,11.5,0.3,5.4,10.8,0.0,10.0,75.0,3.0,145040.97082
2023-04-04,13.0,0.0,6.0,10.1,0.0,10.0,64.0,4.0,151548.25569
2023-04-05,10.3,3.4,7.0,18.0,0.22,8.3,77.0,3.0,53444.330706
2023-04-06,11.7,4.6,8.3,31.0,0.15,8.4,82.0,3.0,93244.82771
2023-04-07,12.4,3.1,7.4,11.5,0.0,10.0,70.0,4.0,146413.3608690582
2023-04-08,11.3,4.8,7.8,8.1,0.0,10.0,78.0,3.0,129086.22793674
2023-04-09,13.8,4.6,9.3,23.0,0.0,10.0,74.0,3.0,105289.77124763
2023-04-10,13.4,5.9,9.2,25.6,0.44,8.3,82.0,3.0,82827.88721
2023-04-11,11.1,4.6,7.6,39.2,0.28,9.8,80.0,3.0,83200.72915
2023-04-12,7.4,1.9,4.9,34.6,0.17,8.1,87.0,2.0,88709.65253
2023-04-13,11.8,4.7,7.2,36.7,0.2,9.6,70.0,3.0,122668.9627761418
2023-04-14,10.5,2.3,6.6,14.4,0.32,9.8,71.0,3.0,62094.6768643291
2023-04-15,12.7,4.7,8.7,11.9,0.12,8.5,77.0,3.0,111073.756474652
2023-04-16,11.1,6.4,8.4,12.2,0.02,8.0,88.0,3.0,72551.705514302
2023-04-17,13.3,5.4,9.3,13.7,0.01,10.0,79.0,3.0,82790.63350114001
2023-04-18,14.1,4.2,8.6,24.1,0.0,7.5,79.0,3.0,125779.417882
2023-04-19,12.7,4.5,8.2,25.9,0.02,10.0,79.0,3.0,114629.1631
2023-04-20,13.2,3.3,7.6,26.6,0.0,10.0,79.0,3.0,162275.1424
2023-04-21,9.1,5.9,7.5,25.2,0.63,8.5,97.0,2.0,69214.58761055402
2023-04-22,11.0,5.5,8.2,17.6,0.12,8.0,86.0,3.0,92423.73986478901
2023-04-23,11.9,5.5,8.4,14.0,0.17,10.0,80.0,3.0,75774.768577588
2023-04-24,7.9,1.8,5.4,19.1,0.02,10.0,75.0,2.0,80747.8610299
2023-04-25,9.6,0.1,5.1,14.8,0.0,10.0,60.0,3.0,144380.405153
2023-04-26,10.6,1.9,6.8,10.1,0.03,9.7,73.0,3.0,87206.4970481
2023-04-27,9.4,4.7,6.8,18.3,0.3,6.5,96.0,2.0,53963.149315
2023-04-28,14.4,8.0,10.4,20.0,0.26,8.3,86.0,3.0,70866.4041378
2023-04-29,15.3,6.1,10.9,14.8,0.27,10.0,83.0,4.0,120324.33399
2023-04-30,12.9,8.7,10.9,16.9,0.38,6.7,95.0,3.0,85442.26580023176
2023-05-01,16.8,7.9,12.1,23.8,0.05,8.8,77.0,4.0,97757.03052386775
2023-05-02,13.2,6.0,9.3,9.4,0.0,10.0,73.0,3.0,98558.90620263001
2023-05-03,12.6,5.1,8.3,18.0,0.0,9.7,76.0,4.0,154969.847715382
2023-05-04,15.0,4.2,9.2,26.3,0.06,8.7,84.0,4.0,111506.687612006
2023-05-05,16.6,9.1,12.5,13.7,0.32,8.8,86.0,4.0,93520.812834064
2023-05-06,13.9,8.2,11.6,17.6,0.36,9.0,94.0,3.0,60425.16100713458
